stat,rv,ex,LB1,UB1,PR1,LB2,UB2,PR2,LB3,UB3,PR3,LB4,UB4,PR4,LB5,UB5,PR5,LB6,UB6,PR6,LB7,UB7,PR7,LB8,UB8,PR8,LB9,UB9,PR9,LB10,UB10,PR10,LB11,UB11,PR11,LB12,UB12,PR12,LB13,UB13,PR13,LB14,UB14,PR14,LB15,UB15,PR15,LB16,UB16,PR16,LB17,UB17,PR17,LB18,UB18,PR18
rsx,0.5,0.23,-9999,-0.6,2.49,-0.6,-0.5,1.3,-0.5,-0.4,2.1,-0.4,-0.3,3.61,-0.3,-0.2,4.5,-0.2,-0.1,6,-0.1,0,7.5,0,0.1,8.7,0.1,0.2,10.97,0.2,0.3,9.22,0.3,0.4,18.1,0.4,0.5,10.9,0.5,0.6,7.1,0.6,0.7,3.84,0.7,0.8,1.54,0.8,0.9,0.74,0.9,1,0.38,1,9999,1
rsx,0.05,0.31,-9999,-0.5,3.5,-0.5,-0.4,2,-0.4,-0.3,3,-0.3,-0.2,6.44,-0.2,-0.1,2.56,-0.1,0,6,0,0.1,6,0.1,0.2,8.6,0.2,0.3,8.9,0.3,0.4,9.5,0.4,0.5,17.05,0.5,0.6,8.37,0.6,0.7,6,0.7,0.8,4.25,0.8,0.9,2.5,0.9,1,1.4,1,1.1,2.66,1.1,9999,1.27
rsx,1.26,0.41,-9999,-0.3,4.75,-0.3,-0.2,0.93,-0.2,-0.1,3.37,-0.1,0,4.45,0,0.1,4,0.1,0.2,5.1,0.2,0.3,6.1,0.3,0.4,7,0.4,0.5,7.4,0.5,0.6,7.4,0.6,0.7,8.74,0.7,0.8,8.63,0.8,0.9,8.13,0.9,1,5.3,1,1.1,4.51,1.1,1.2,3.59,1.2,1.3,3.5,1.3,9999,7.11
rsx,-1.01,-0.07,-9999,-0.9,7.47,-0.9,-0.8,5.68,-0.8,-0.7,3.39,-0.7,-0.6,7.14,-0.6,-0.5,5.16,-0.5,-0.4,4.5,-0.4,-0.3,5.6,-0.3,-0.2,6.6,-0.2,-0.1,7.2,-0.1,0,7.5,0,0.1,7.2,0.1,0.2,10.3,0.2,0.3,5.6,0.3,0.4,4.5,0.4,0.5,3.4,0.5,0.6,2.7,0.6,0.7,2.19,0.7,9999,3.86
rsx,1.06,0.35,-9999,-0.4,8.36,-0.4,-0.3,1.64,-0.3,-0.2,2,-0.2,-0.1,2.9,-0.1,0,4,0,0.1,5.1,0.1,0.2,6.1,0.2,0.3,7,0.3,0.4,7.4,0.4,0.5,7.4,0.5,0.6,7,0.6,0.7,6.6,0.7,0.8,5.1,0.8,0.9,6.6,0.9,1,4.8,1,1.1,8,1.1,1.2,5,1.2,9999,5
rsx,-0.94,0.19,-9999,-0.6,12.36,-0.6,-0.5,10.64,-0.5,-0.4,5.6,-0.4,-0.3,7.4,-0.3,-0.2,7,-0.2,-0.1,7.5,-0.1,0,7.8,0,0.1,7.8,0.1,0.2,7.5,0.2,0.3,7,0.3,0.4,6.2,0.4,0.5,4.3,0.5,0.6,2.5,0.6,0.7,1.92,0.7,0.8,1.5,0.8,0.9,1.1,0.9,1,0.75,1,9999,1.13
rsx,0.13,0.2,-9999,-0.6,5.71,-0.6,-0.5,2.71,-0.5,-0.4,3.58,-0.4,-0.3,3.2,-0.3,-0.2,9,-0.2,-0.1,5.6,-0.1,0,6.2,0,0.1,6.7,0.1,0.2,6.9,0.2,0.3,6.9,0.3,0.4,6.7,0.4,0.5,6.2,0.5,0.6,5.6,0.6,0.7,7.52,0.7,0.8,4.8,0.8,0.9,3.78,0.9,1,2.86,1,9999,6.04
rsx,0.71,0.31,-9999,-0.5,6.82,-0.5,-0.4,5.18,-0.4,-0.3,3.17,-0.3,-0.2,2.69,-0.2,-0.1,6.14,-0.1,0,4.645,0,0.1,4.5,0.1,0.2,7.3,0.2,0.3,10,0.3,0.4,11.7,0.4,0.5,11.7,0.5,0.6,10,0.6,0.7,7.3,0.7,0.8,4.5,0.8,0.9,2.4,0.9,1,1.1,1,1.1,0.37,1.1,9999,0.49
rsx,0.82,0.55,-9999,-0.3,1.4,-0.3,-0.2,0.6,-0.2,-0.1,0.9,-0.1,0,1.2,0,0.1,3.3,0.1,0.2,4.1,0.2,0.3,4.9,0.3,0.4,6.5,0.4,0.5,11.9,0.5,0.6,10.9,0.6,0.7,11.1,0.7,0.8,8.4,0.8,0.9,7.6,0.9,1,6.5,1,1.1,4.8,1.1,1.2,2.9,1.2,1.3,3.9,1.3,9999,9.1
rsx,0.65,0.75,-9999,0,0.9,0,0.1,1.4,0.1,0.2,2,0.2,0.3,2.7,0.3,0.4,4.16,0.4,0.5,4.5,0.5,0.6,10.34,0.6,0.7,6,0.7,0.8,8,0.8,0.9,6.73,0.9,1,8.7,1,1.1,17.57,1.1,1.2,9.5,1.2,1.3,5.5,1.3,1.4,7.11,1.4,1.5,2.7,1.5,9999,2.19,9999,9999,9999
